【公 告】,#genre#
CCTV欧洲,http://m.061899.xyz/mg/cctv4o
CETV1,http://m.061899.xyz/mg/cetv1
CETV2,http://m.061899.xyz/mg/cetv2
CETV4,http://m.061899.xyz/mg/cetv4
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古视,http://m.061899.xyz/mg/nmgws
黑龙江视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
北京体育,http://m.061899.xyz/mg/bjty
北京新闻,http://m.061899.xyz/mg/bjxw
北京财经,http://m.061899.xyz/mg/bjcj
北京文艺,http://m.061899.xyz/mg/bjwy
北京生活,http://m.061899.xyz/mg/bjsh
北京少儿,http://m.061899.xyz/mg/bjkk
北京影视,http://m.061899.xyz/mg/bjys
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
红色轮播,http://m.061899.xyz/mg/hslb
金色剧场,http://m.061899.xyz/mg/jsjc
乡村振兴,http://m.061899.xyz/mg/xczx


央卫咪咕1[切换ijk解码]
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws



央卫咪咕3[切换ijk解码]
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN西语,http://go.bkpcp.top/mg/cgtne
CGTN阿语,http://go.bkpcp.top/mg/cgtna
CGTN法语,http://go.bkpcp.top/mg/cgtnf
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
大湾区卫视,http://go.bkpcp.top/mg/dwqws
重温经典,http://go.bkpcp.top/mg/cwjd
吉林卫视,http://go.bkpcp.top/mg/jlws

CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
CHC家庭影院,http://go.bkpcp.top/mg/jtyy
广东影视,http://go.bkpcp.top/mg/gdys
法治天地,http://go.bkpcp.top/mg/fztd
上海东方影视,http://go.bkpcp.top/mg/shys
劲爆体育,http://go.bkpcp.top/mg/jbty
新视觉HD,http://go.bkpcp.top/mg/mlzq
SiTV 游戏风云,http://go.bkpcp.top/mg/yxfy
SiTV 乐游,http://go.bkpcp.top/mg/ly
欢笑剧场,http://go.bkpcp.top/mg/hxjc
江苏城市,http://go.bkpcp.top/mg/jscs
江苏影视,http://go.bkpcp.top/mg/jsys
江苏综艺,http://go.bkpcp.top/mg/jszy
江苏新闻,http://go.bkpcp.top/mg/jsxw
江苏教育,http://go.bkpcp.top/mg/jsjy
江苏国际,http://go.bkpcp.top/mg/jsgj
江苏体育休闲,http://go.bkpcp.top/mg/jstyxx
连云港新闻综合,http://go.bkpcp.top/mg/lygxwzh
泰州新闻综合,http://go.bkpcp.top/mg/tzl
徐州新闻综合,http://go.bkpcp.top/mg/xzxwzh
宿迁新闻综合,http://go.bkpcp.top/mg/sqxwzh
中央新影-老故事,http://go.bkpcp.top/mg/lgs
中央新影-发现之旅,http://go.bkpcp.top/mg/fxzl
中央新影-中学生,http://go.bkpcp.top/mg/zxs
经典动画大集合,http://go.bkpcp.top/mg/jddh
新片放映厅,http://go.bkpcp.top/mg/xpfyt
红色轮播,http://go.bkpcp.top/mg/hslbt
大片,http://go.bkpcp.top/mg/gqdp
玫瑰轮播,http://go.bkpcp.top/mg/mglbt
热剧联播,http://go.bkpcp.top/mg/rjlb
经典香港电影,http://go.bkpcp.top/mg/jdxgdy
军事迷必看大片,http://go.bkpcp.top/mg/jsdp
历届春晚回顾,http://go.bkpcp.top/mg/ljcwhg
华语乐坛最强音,http://go.bkpcp.top/mg/hyyt
周杰伦现场,http://go.bkpcp.top/mg/zjlxc
最强综艺趴,http://go.bkpcp.top/mg/zqzyp
四海钓鱼,http://go.bkpcp.top/mg/shdy
CBA经典,http://go.bkpcp.top/mg/cbajd
NBA经典,http://go.bkpcp.top/mg/nbajd
UFC格斗精选,http://go.bkpcp.top/mg/ufcgdjx
英雄联盟赛事,http://go.bkpcp.top/mg/yxlmss
欧洲足球风云,http://go.bkpcp.top/mg/ozzqfy
全民乒乓,http://go.bkpcp.top/mg/qmpp



央卫咪咕4[切换ijk解码]
CCTV1,http://j.s.bkpcp.top/jj/cctv1
CCTV2,http://j.s.bkpcp.top/jj/cctv2
CCTV3,http://j.s.bkpcp.top/jj/cctv3
CCTV4,http://j.s.bkpcp.top/jj/cctv4
CCTV5,http://j.s.bkpcp.top/jj/cctv5
CCTV-5+,http://j.s.bkpcp.top/jj/cctv5p
CCTV6,http://j.s.bkpcp.top/jj/cctv6
CCTV7,http://j.s.bkpcp.top/jj/cctv7
CCTV8,http://j.s.bkpcp.top/jj/cctv8
CCTV9,http://j.s.bkpcp.top/jj/cctv9
CCTV10,http://j.s.bkpcp.top/jj/cctv10
CCTV11,http://j.s.bkpcp.top/jj/cctv11
CCTV12,http://j.s.bkpcp.top/jj/cctv12
CCTV13,http://j.s.bkpcp.top/jj/cctv13
CCTV14,http://j.s.bkpcp.top/jj/cctv14
CCTV15,http://j.s.bkpcp.top/jj/cctv15
CCTV16,http://j.s.bkpcp.top/jj/cctv16
CCTV17,http://j.s.bkpcp.top/jj/cctv17
CCTV欧洲,http://j.s.bkpcp.top/jj/cctv4o
CCTV美洲,http://j.s.bkpcp.top/jj/cctv4m
CGTN西语,http://j.s.bkpcp.top/jj/cgtne
CGTN阿语,http://j.s.bkpcp.top/jj/cgtna
CGTN法语,http://j.s.bkpcp.top/jj/cgtnf
深圳卫视4k,http://j.s.bkpcp.top/jj/szws
黑龙江视,http://j.s.bkpcp.top/jj/hljws
北京卫视,http://j.s.bkpcp.top/jj/bjws
东方卫视,http://j.s.bkpcp.top/jj/dfws
浙江卫视,http://j.s.bkpcp.top/jj/zjws
江苏卫视,http://j.s.bkpcp.top/jj/jsws
湖南卫视,http://j.s.bkpcp.top/jj/hunws
广东卫视,http://j.s.bkpcp.top/jj/gdws
山东卫视,http://j.s.bkpcp.top/jj/sdws
河南卫视,http://j.s.bkpcp.top/jj/hnws
江西卫视,http://j.s.bkpcp.top/jj/jxws
湖北卫视,http://j.s.bkpcp.top/jj/hubws
海南卫视,http://j.s.bkpcp.top/jj/hinws
陕西卫视,http://j.s.bkpcp.top/jj/sxws
兵团卫视,http://j.s.bkpcp.top/jj/btws
吉林卫视,http://j.s.bkpcp.top/jj/jlws
老故事,http://j.s.bkpcp.top/jj/lgs
发现之旅,http://j.s.bkpcp.top/jj/fxzl
中学生,http://j.s.bkpcp.top/jj/zxs
CGTN俄语,http://j.s.bkpcp.top/jj/cgtnr
CGTN外语纪录,http://j.s.bkpcp.top/jj/cgtnjl
重庆卫视,http://j.s.bkpcp.top/jj/cqws
四川卫视,http://j.s.bkpcp.top/jj/scws
甘肃卫视,http://j.s.bkpcp.top/jj/gsws




央卫咪咕5[切换ijk解码]
CCTV1,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV2,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV3,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV4,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV5,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV6,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV7,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV8,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV9,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV10,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV11,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV12,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV13,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV14,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV15,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV16,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV17,http://t.061899.xyz/tl/tl.php?id=cctv17
内蒙古视,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视,http://t.061899.xyz/tl/tl.php?id=hljws
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws
天映,http://t.061899.xyz/tl/168.php?id=typd


来源猫TV
央卫咪咕6[切换ijk解码]
CCTV1,http://rihou.cc:555/tv/[mg]CCTV-01
CCTV2,http://rihou.cc:555/tv/[mg]CCTV-02
CCTV3,http://rihou.cc:555/tv/[mg]CCTV-03
CCTV4,http://rihou.cc:555/tv/[mg]CCTV-04
CCTV5,http://rihou.cc:555/tv/[mg]CCTV-05
CCTV5+,http://rihou.cc:555/tv/[mg]CCTV-5p
CCTV6,http://rihou.cc:555/tv/[mg]CCTV-06
CCTV7,http://rihou.cc:555/tv/[mg]CCTV-07
CCTV8,http://rihou.cc:555/tv/[mg]CCTV-08
CCTV9,http://rihou.cc:555/tv/[mg]CCTV-09
CCTV10,http://rihou.cc:555/tv/[mg]CCTV-10
CCTV11,http://rihou.cc:555/tv/[mg]CCTV-11
CCTV12,http://rihou.cc:555/tv/[mg]CCTV-12
CCTV13,http://rihou.cc:555/tv/[mg]CCTV-13
CCTV14,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV15,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV16,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV17,http://rihou.cc:555/tv/[mg]CCTV-17
CCTV欧洲,http://rihou.cc:555/tv/[mg]cct4欧洲
CCTV美洲,http://rihou.cc:555/tv/[mg]cct4美洲
CGTN西语,http://rihou.cc:555/tv/[mg]CGTN-西
CGTN阿语,http://rihou.cc:555/tv/[mg]CGTN-阿
CGTN法语,http://rihou.cc:555/tv/[mg]CGTN-法
北京卫视,http://rihou.cc:555/tv/[mg]北京卫视
东方卫视,http://rihou.cc:555/tv/[mg]东方卫视
浙江卫视,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视,http://rihou.cc:555/tv/[mg]江苏卫视
湖南卫视,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视,http://rihou.cc:555/tv/[mg]广东卫视
深圳卫视,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视,http://rihou.cc:555/tv/[mg]河南卫视
江西卫视,http://rihou.cc:555/tv/[mg]江西卫视
湖北卫视,http://rihou.cc:555/tv/[mg]湖北卫视
海南卫视,http://rihou.cc:555/tv/[mg]海南卫视
陕西卫视,http://rihou.cc:555/tv/[mg]陕西卫视
兵团卫视,http://rihou.cc:555/tv/[mg]兵团卫视
黑龙江视,http://rihou.cc:555/tv/[mg]黑龙江视

大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-4.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-4.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-gao-qing-10.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-20.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-22.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-5.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-17.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-gao-qing-6.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-29.m3u8
大湾区卫视,http://119.131.24.84:9003/udp/239.77.0.9:5146
大湾区卫视,http://119.131.24.84:9003/udp/239.77.1.12:5146
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
大湾区卫视,http://43.251.226.89:8080/play/39.m3u8
大湾区卫视,http://111.221.137.155:44330/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山东教育卫视,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
延边卫视,https://t.freetv.fun/live/yan-bian-wei-shi-1.m3u8
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8
农林卫视,http://111.170.157.210:1081/?id=956904896&auth=95d4c11f9a4bc430bf05d5da4ace7ccb62e10810ea7d7a14850daa8506100093b83efc8adc3a542dac3aa07e83c882b2
农林卫视,http://59.110.126.191:3000/956904896
农林卫视,https://migu.188766.xyz/?migutoken=d41bf4d520dc01be83541ff88c727675&id=%E4%B8%AD%E5%9B%BD%E5%86%9C%E6%9E%97%E5%8D%AB%E8%A7%86&type=yy
农林卫视,http://gxlive.snrtv.com/nlws-SD.m3u8
农林卫视,http://8.138.7.223/【公众号：榴芒电视】/农林卫视.m3u8
海峡卫视,https://t.freetv.fun/live/hai-xia-wei-shi-4.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
海峡卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
海峡卫视,https://live.catvod.com/live.php?id=hxws01
海峡卫视,https://t.freetv.fun/live/hai-xia-wei-shi-2.m3u8
海峡卫视,http://r.jdshipin.com/WtYt3
海峡卫视,http://go.bkpcp.top/mg/hxws
海峡卫视,http://59.110.126.191:3000/849119120
三沙卫视,https://t.freetv.fun/live/san-sha-wei-shi-1.m3u8
三沙卫视,https://t.freetv.fun/live/san-sha-wei-shi-2.php
三沙卫视,https://t.freetv.fun/live/san-sha-wei-shi-4.m3u8
三沙卫视,http://47.108.20.161:8866/hainan/hainan.php?id=ssws
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
三沙卫视,https://srs.ssws.tv/video/sstv-10/index.m3u8
三沙卫视,https://t.freetv.fun/live/san-sha-wei-shi.m3u8


央卫[广东移动],#genre#
CCTV1 综合,http://120.198.84.146:9901/tsfile/live/1023_1.m3u8
每天领红包,https://gh.xxooo.cf/https://raw.githubusercontent.com/jidu88/zhuijuwo/refs/heads/main/zbzy/yejaigangzfb.mp4
CCTV2 财经,http://120.198.84.146:9901/tsfile/live/1024_1.m3u8
天天领红包,https://gh.xxooo.cf/https://raw.githubusercontent.com/jidu88/zhuijuwo/refs/heads/main/zbzy/yejaigangzfb.mp4
CCTV3 综艺,http://120.198.84.146:9901/tsfile/live/1025_1.m3u8
CCTV4中文国际,http://120.198.84.146:9901/tsfile/live/1026_1.m3u8
CCTV5 体育,http://120.198.84.146:9901/tsfile/live/1027_1.m3u8
CCTV5+体育,http://120.198.84.146:9901/tsfile/live/1005_1.m3u8
CCTV6 电影,http://120.198.84.146:9901/tsfile/live/1028_1.m3u8
CCTV7 国防军事,http://120.198.84.146:9901/tsfile/live/1029_1.m3u8
CCTV8 电视剧,http://120.198.84.146:9901/tsfile/live/1030_1.m3u8
CCTV9 纪录,http://120.198.84.146:9901/tsfile/live/1031_1.m3u8
CCTV10 科教,http://120.198.84.146:9901/tsfile/live/1032_1.m3u8
CCTV11 戏曲,http://120.198.84.146:9901/tsfile/live/1033_1.m3u8
CCTV12 社会与法,http://120.198.84.146:9901/tsfile/live/1034_1.m3u8
CCTV13 新闻,http://120.198.84.146:9901/tsfile/live/1035_1.m3u8
CCTV14 少儿,http://120.198.84.146:9901/tsfile/live/1036_1.m3u8
CCTV15 音乐,http://120.198.84.146:9901/tsfile/live/1037_1.m3u8
CCTV16 奥林匹克,http://120.198.84.146:9901/tsfile/live/1087_1.m3u8
CCTV17 农村农业,http://120.198.84.146:9901/tsfile/live/1080_1.m3u8
CETV1,http://120.198.84.146:9901/tsfile/live/1038_1.m3u8
CETV早期教育,http://120.198.84.146:9901/tsfile/live/1079_1.m3u8


广东卫视,http://120.198.84.146:9901/tsfile/live/1000_1.m3u8
南方卫视,http://120.198.84.146:9901/tsfile/live/1009_1.m3u8
天津卫视,http://120.198.84.146:9901/tsfile/live/1022_1.m3u8
湖南卫视,http://120.198.84.146:9901/tsfile/live/1039_1.m3u8
贵州卫视,http://120.198.84.146:9901/tsfile/live/1041_1.m3u8
东南卫视,http://120.198.84.146:9901/tsfile/live/1042_1.m3u8
湖北卫视,http://120.198.84.146:9901/tsfile/live/1043_1.m3u8
广西卫视,http://120.198.84.146:9901/tsfile/live/1044_1.m3u8
云南卫视,http://120.198.84.146:9901/tsfile/live/1045_1.m3u8
河南卫视,http://120.198.84.146:9901/tsfile/live/1046_1.m3u8
浙江卫视,http://120.198.84.146:9901/tsfile/live/1047_1.m3u8
江西卫视,http://120.198.84.146:9901/tsfile/live/1048_1.m3u8
四川卫视,http://120.198.84.146:9901/tsfile/live/1049_1.m3u8
江苏卫视,http://120.198.84.146:9901/tsfile/live/1051_1.m3u8
深圳卫视,http://120.198.84.146:9901/tsfile/live/1052_1.m3u8
辽宁卫视,http://120.198.84.146:9901/tsfile/live/1055_1.m3u8
宁夏卫视,http://120.198.84.146:9901/tsfile/live/1056_1.m3u8
青海卫视,http://120.198.84.146:9901/tsfile/live/1057_1.m3u8
安徽卫视,http://120.198.84.146:9901/tsfile/live/1060_1.m3u8
山东卫视,http://120.198.84.146:9901/tsfile/live/1061_1.m3u8
北京卫视,http://120.198.84.146:9901/tsfile/live/1063_1.m3u8
陕西卫视,http://120.198.84.146:9901/tsfile/live/1064_1.m3u8
东方卫视,http://120.198.84.146:9901/tsfile/live/1066_1.m3u8
河北卫视,http://120.198.84.146:9901/tsfile/live/1083_1.m3u8
山西卫视,http://120.198.84.146:9901/tsfile/live/1088_1.m3u8
黑龙江卫视,http://120.198.84.146:9901/tsfile/live/1073_1.m3u8
兵团卫视,http://120.198.84.146:9901/tsfile/live/1071_1.m3u8
