【公 告】,#genre#
河北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视咪咕,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视咪咕,http://t.061899.xyz/tl/tl.php?id=qhws
宁夏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=nxws
陕西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxws
甘肃卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gsws
新疆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视咪咕,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视咪咕,http://t.061899.xyz/tl/tl.php?id=hljws


[三网4]央卫视直播,#genre#
CCTV1综合,http://124.77.202.8:49155/608807420
CCTV2财经,http://124.77.202.8:49155/631780532
CCTV3综艺,http://124.77.202.8:49155/624878271
CCTV4中文国际,http://124.77.202.8:49155/631780421
CCTV5体育,http://124.77.202.8:49155/641886683
CCTV5+体育赛事,http://124.77.202.8:49155/641886773
CCTV6电影,http://124.77.202.8:49155/624878396
CCTV7国防军事,http://124.77.202.8:49155/673168121
CCTV8电视剧,http://124.77.202.8:49155/624878356
CCTV9纪录,http://124.77.202.8:49155/673168140
CCTV10科教,http://124.77.202.8:49155/624878405
CCTV11戏曲,http://124.77.202.8:49155/667987558
CCTV12社会与法,http://124.77.202.8:49155/673168185
CCTV13新闻,http://124.77.202.8:49155/608807423
CCTV14少儿,http://124.77.202.8:49155/624878440
CCTV15音乐,http://124.77.202.8:49155/673168223
CCTV17农业农村,http://124.77.202.8:49155/673168256
CCTV4欧洲,http://124.77.202.8:49155/608807419
CCTV4美洲,http://124.77.202.8:49155/608807416
CGTN外语纪录,http://124.77.202.8:49155/609006487
CGTN阿拉伯语,http://124.77.202.8:49155/609154345
CGTN西班牙语,http://124.77.202.8:49155/609006450
CGTN法语,http://124.77.202.8:49155/609006476
CGTN俄语,http://124.77.202.8:49155/609006446
老故事,http://124.77.202.8:49155/884121956
发现之旅,http://124.77.202.8:49155/624878970
中学生,http://124.77.202.8:49155/708869532
CGTN,http://124.77.202.8:49155/609017205
赛事最经典,http://124.77.202.8:49155/646596895
体坛名栏汇,http://124.77.202.8:49155/629943305
四海钓鱼,http://124.77.202.8:49155/637444975
陕西体育休闲频道,http://124.77.202.8:49155/956909356
武术世界,http://124.77.202.8:49155/958475359
快乐垂钓,http://124.77.202.8:49155/961930263
辽宁广播电视台体育休闲频道,http://124.77.202.8:49155/962067526
东方卫视,http://124.77.202.8:49155/651632648
江苏卫视,http://124.77.202.8:49155/623899368
广东卫视,http://124.77.202.8:49155/608831231
北京卫视,http://124.77.202.8:49155/630287636
辽宁卫视,http://124.77.202.8:49155/630291707
河北卫视,http://124.77.202.8:49155/962042070
江西卫视,http://124.77.202.8:49155/783847495
河南卫视,http://124.77.202.8:49155/790187291
陕西卫视,http://124.77.202.8:49155/738910838
大湾区卫视,http://124.77.202.8:49155/608917627
湖北卫视,http://124.77.202.8:49155/947472496
吉林卫视,http://124.77.202.8:49155/947472500
青海卫视,http://124.77.202.8:49155/947472506
东南卫视,http://124.77.202.8:49155/849116810
海南卫视,http://124.77.202.8:49155/947472502
海峡卫视,http://124.77.202.8:49155/849119120
中国农林卫视,http://124.77.202.8:49155/956904896
兵团卫视,http://124.77.202.8:49155/956923145
宁夏卫视,http://124.77.202.8:49155/738910535
重庆卫视,http://124.77.202.8:49155/738910914
三沙卫视,http://124.77.202.8:49155/961023778



广东移动[酒店],#genre#
CCTV1 综合,http://120.198.84.146:9901/tsfile/live/1023_1.m3u8
CCTV2 财经,http://120.198.84.146:9901/tsfile/live/1024_1.m3u8
CCTV3 综艺,http://120.198.84.146:9901/tsfile/live/1025_1.m3u8
CCTV4中文国际,http://120.198.84.146:9901/tsfile/live/1026_1.m3u8
CCTV5 体育,http://120.198.84.146:9901/tsfile/live/1027_1.m3u8
CCTV5+体育,http://120.198.84.146:9901/tsfile/live/1005_1.m3u8
CCTV6 电影,http://120.198.84.146:9901/tsfile/live/1028_1.m3u8
CCTV7 国防军事,http://120.198.84.146:9901/tsfile/live/1029_1.m3u8
CCTV8 电视剧,http://120.198.84.146:9901/tsfile/live/1030_1.m3u8
CCTV9 纪录,http://120.198.84.146:9901/tsfile/live/1031_1.m3u8
CCTV10 科教,http://120.198.84.146:9901/tsfile/live/1032_1.m3u8
CCTV11 戏曲,http://120.198.84.146:9901/tsfile/live/1033_1.m3u8
CCTV12 社会与法,http://120.198.84.146:9901/tsfile/live/1034_1.m3u8
CCTV13 新闻,http://120.198.84.146:9901/tsfile/live/1035_1.m3u8
CCTV14 少儿,http://120.198.84.146:9901/tsfile/live/1036_1.m3u8
CCTV15 音乐,http://120.198.84.146:9901/tsfile/live/1037_1.m3u8
CCTV16 奥林匹克,http://120.198.84.146:9901/tsfile/live/1087_1.m3u8
CCTV17 农村农业,http://120.198.84.146:9901/tsfile/live/1080_1.m3u8
CETV1,http://120.198.84.146:9901/tsfile/live/1038_1.m3u8
CETV早期教育,http://120.198.84.146:9901/tsfile/live/1079_1.m3u8


广东卫视,http://120.198.84.146:9901/tsfile/live/1000_1.m3u8
南方卫视,http://120.198.84.146:9901/tsfile/live/1009_1.m3u8
天津卫视,http://120.198.84.146:9901/tsfile/live/1022_1.m3u8
湖南卫视,http://120.198.84.146:9901/tsfile/live/1039_1.m3u8
贵州卫视,http://120.198.84.146:9901/tsfile/live/1041_1.m3u8
东南卫视,http://120.198.84.146:9901/tsfile/live/1042_1.m3u8
湖北卫视,http://120.198.84.146:9901/tsfile/live/1043_1.m3u8
广西卫视,http://120.198.84.146:9901/tsfile/live/1044_1.m3u8
云南卫视,http://120.198.84.146:9901/tsfile/live/1045_1.m3u8
河南卫视,http://120.198.84.146:9901/tsfile/live/1046_1.m3u8
浙江卫视,http://120.198.84.146:9901/tsfile/live/1047_1.m3u8
江西卫视,http://120.198.84.146:9901/tsfile/live/1048_1.m3u8
四川卫视,http://120.198.84.146:9901/tsfile/live/1049_1.m3u8
江苏卫视,http://120.198.84.146:9901/tsfile/live/1051_1.m3u8
深圳卫视,http://120.198.84.146:9901/tsfile/live/1052_1.m3u8
辽宁卫视,http://120.198.84.146:9901/tsfile/live/1055_1.m3u8
宁夏卫视,http://120.198.84.146:9901/tsfile/live/1056_1.m3u8
青海卫视,http://120.198.84.146:9901/tsfile/live/1057_1.m3u8
安徽卫视,http://120.198.84.146:9901/tsfile/live/1060_1.m3u8
山东卫视,http://120.198.84.146:9901/tsfile/live/1061_1.m3u8
北京卫视,http://120.198.84.146:9901/tsfile/live/1063_1.m3u8
陕西卫视,http://120.198.84.146:9901/tsfile/live/1064_1.m3u8
东方卫视,http://120.198.84.146:9901/tsfile/live/1066_1.m3u8
河北卫视,http://120.198.84.146:9901/tsfile/live/1083_1.m3u8
山西卫视,http://120.198.84.146:9901/tsfile/live/1088_1.m3u8
黑龙江卫视,http://120.198.84.146:9901/tsfile/live/1073_1.m3u8
兵团卫视,http://120.198.84.146:9901/tsfile/live/1071_1.m3u8
吉林卫视,http://120.198.84.146:9901/tsfile/live/1090_1.m3u8
吉林卫视,http://120.198.84.146:9901/tsfile/live/1096_1.m3u8
重庆卫视,http://120.198.84.146:9901/tsfile/live/1058_1.m3u8
山东教育,http://120.198.84.146:9901/tsfile/live/1095_1.m3u8
甘肃卫视,http://58.57.40.22:9901/tsfile/live/1056_1.m3u8
甘肃卫视,http://120.238.94.10:9901/tsfile/live/1079_1.m3u8

广东经济科教,http://120.198.84.146:9901/tsfile/live/1008_1.m3u8
广东影视,http://120.198.84.146:9901/tsfile/live/1010_1.m3u8
广东少儿,http://120.198.84.146:9901/tsfile/live/1011_1.m3u8
广东珠江,http://120.198.84.146:9901/tsfile/live/1012_1.m3u8
广东新闻,http://120.198.84.146:9901/tsfile/live/1013_1.m3u8
广东民生,http://120.198.84.146:9901/tsfile/live/1014_1.m3u8
广东体育,http://120.198.84.146:9901/tsfile/live/1015_1.m3u8
梅州1,http://120.198.84.146:9901/tsfile/live/1002_1.m3u8
梅州2,http://120.198.84.146:9901/tsfile/live/1003_1.m3u8
岭南戏曲,http://120.198.84.146:9901/tsfile/live/1004_1.m3u8
五华台,http://120.198.84.146:9901/tsfile/live/1006_1.m3u8
中山综合,http://120.198.84.146:9901/tsfile/live/1089_1.m3u8
SGCS,http://120.198.84.146:9901/tsfile/live/1007_1.m3u8

华数-经典电影,http://120.198.84.146:9901/tsfile/live/1016_1.m3u8
华数-谍战剧场,http://120.198.84.146:9901/tsfile/live/1076_1.m3u8
IPTV-野外,http://120.198.84.146:9901/tsfile/live/1017_1.m3u8
CHC动作电影,http://120.198.84.146:9901/tsfile/live/1018_1.m3u8
TVB星河本港台,http://120.198.84.146:9901/tsfile/live/1019_1.m3u8
翡翠台,http://120.198.84.146:9901/tsfile/live/1020_1.m3u8
明珠台,http://120.198.84.146:9901/tsfile/live/1054_1.m3u8
国学频道,http://120.198.84.146:9901/tsfile/live/1021_1.m3u8
凤凰中文,http://120.198.84.148:9901/tsfile/live/1053_1.m3u8

金鹰卡通,http://120.198.84.146:9901/tsfile/live/1040_1.m3u8
新动漫,http://120.198.84.146:9901/tsfile/live/1050_1.m3u8
卡酷少儿,http://120.198.84.146:9901/tsfile/live/1062_1.m3u8
金鹰纪实,http://120.198.84.146:9901/tsfile/live/1065_1.m3u8
优漫卡通,http://120.198.84.146:9901/tsfile/live/1067_1.m3u8
嘉佳卡通,http://120.198.84.146:9901/tsfile/live/1070_1.m3u8

CCTV兵器科技,http://120.198.84.146:9901/tsfile/live/1068_1.m3u8
CCTV收视指南,http://120.198.84.146:9901/tsfile/live/1085_1.m3u8
CCTV风云音乐,http://120.198.84.146:9901/tsfile/live/1081_1.m3u8
CCTV怀旧剧场,http://120.198.84.146:9901/tsfile/live/1001_1.m3u8
CCTV世界地理,http://120.198.84.146:9901/tsfile/live/1099_1.m3u8
CCTV风云足球,http://120.198.84.146:9901/tsfile/live/1086_1.m3u8

中央新影-老故事,http://120.198.84.146:9901/tsfile/live/1077_1.m3u8
中央新影-中学生,http://120.198.84.146:9901/tsfile/live/1100_1.m3u8
中央新影-发现之旅,http://120.198.84.146:9901/tsfile/live/1094_1.m3u8
央视精品1,http://120.198.84.146:9901/tsfile/live/1075_1.m3u8
求索纪录,http://120.198.84.146:9901/tsfile/live/1097_1.m3u8


---------------------------------------------------------------------------
CCTV女性时尚,http://39.152.103.17:8089/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&down=1
兵器科技,http://120.238.94.10:9901/tsfile/live/1096_1.m3u8
风云剧场,http://120.238.94.10:9901/tsfile/live/1090_1.m3u8
风云音乐,http://120.238.94.10:9901/tsfile/live/1089_1.m3u8
风云剧场,http://183.57.249.119:8183/tsfile/live/1005_1.m3u8
第一剧场,http://61.184.46.85:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://61.184.46.85:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
女性时尚,http://39.152.103.17:8089/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&down=1

华数动作影院,http://113.25.252.226:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
华数经典电影,http://123.129.70.178:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
华数热播剧场,http://119.129.172.112:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://36.36.200.198:44330/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0

家庭影院,http://39.150.98.32:7799/tsfile/live/1027_1.m3u8
动作电影,http://39.150.98.32:7799/tsfile/live/1028_1.m3u8
影迷电影,http://39.150.98.32:7799/tsfile/live/1029_1.m3u8

重温经典,http://36.36.200.198:44330/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
重温经典,http://111.8.224.6:4095/tsfile/live/1054_1.m3u8
重温经典,http://111.221.137.234:44330/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
重温经典,http://116.77.33.196:44330/tsfile/live/1014_1.m3u8
重温经典,http://219.146.65.78:59902/tsfile/live/0150_1.m3u8
重温经典,http://36.36.200.198:44330/tsfile/live/0119_1.m3u8
凤凰电影,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0



央卫咪咕6,#genre#
CCTV1,http://rihou.cc:555/tv/[mg]CCTV-01
CCTV2,http://rihou.cc:555/tv/[mg]CCTV-02
CCTV3,http://rihou.cc:555/tv/[mg]CCTV-03
CCTV4,http://rihou.cc:555/tv/[mg]CCTV-04
CCTV5,http://rihou.cc:555/tv/[mg]CCTV-05
CCTV5+,http://rihou.cc:555/tv/[mg]CCTV-5p
CCTV6,http://rihou.cc:555/tv/[mg]CCTV-06
CCTV7,http://rihou.cc:555/tv/[mg]CCTV-07
CCTV8,http://rihou.cc:555/tv/[mg]CCTV-08
CCTV9,http://rihou.cc:555/tv/[mg]CCTV-09
CCTV10,http://rihou.cc:555/tv/[mg]CCTV-10
CCTV11,http://rihou.cc:555/tv/[mg]CCTV-11
CCTV12,http://rihou.cc:555/tv/[mg]CCTV-12
CCTV13,http://rihou.cc:555/tv/[mg]CCTV-13
CCTV14,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV15,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV16,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV17,http://rihou.cc:555/tv/[mg]CCTV-17
CCTV欧洲,http://rihou.cc:555/tv/[mg]cct4欧洲
CCTV美洲,http://rihou.cc:555/tv/[mg]cct4美洲
CGTN西语,http://rihou.cc:555/tv/[mg]CGTN-西
CGTN阿语,http://rihou.cc:555/tv/[mg]CGTN-阿
CGTN法语,http://rihou.cc:555/tv/[mg]CGTN-法
北京卫视,http://rihou.cc:555/tv/[mg]北京卫视
东方卫视,http://rihou.cc:555/tv/[mg]东方卫视
浙江卫视,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视,http://rihou.cc:555/tv/[mg]江苏卫视
湖南卫视,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视,http://rihou.cc:555/tv/[mg]广东卫视
深圳卫视,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视,http://rihou.cc:555/tv/[mg]河南卫视
江西卫视,http://rihou.cc:555/tv/[mg]江西卫视
湖北卫视,http://rihou.cc:555/tv/[mg]湖北卫视
海南卫视,http://rihou.cc:555/tv/[mg]海南卫视
陕西卫视,http://rihou.cc:555/tv/[mg]陕西卫视
兵团卫视,http://rihou.cc:555/tv/[mg]兵团卫视
黑龙江视,http://rihou.cc:555/tv/[mg]黑龙江视

央卫咪咕1,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=CCTV17
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
